2026-03-19 08:17:45 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:17:45 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:18:29 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:18:29 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:18:54 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:18:54 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:18:54 | INFO | ConnectedUplink | handle_rx self=2031350929728 queue=2031350495760 ACK=False FIN=False seq=0
2026-03-19 08:18:54 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 08:18:54 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 08:18:54 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:18:54 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:23:20 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:23:20 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:23:20 | INFO | ConnectedUplink | handle_rx self=2195269735088 queue=2195269285968 ACK=False FIN=False seq=0
2026-03-19 08:23:20 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 08:23:20 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 08:23:20 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:23:20 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:26:20 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:26:20 | INFO | ConnectedUplink | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:27:38 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:27:38 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:27:38 | INFO | ConnectedUplink | handle_rx self=2062232146608 queue=2062231582800 ACK=False FIN=False seq=0
2026-03-19 08:27:38 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:27:38 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:27:38 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 08:27:38 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 08:28:28 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:28:28 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:28:28 | INFO | ConnectedUplink | handle_rx self=2742269661872 queue=2742268983376 ACK=False FIN=False seq=0
2026-03-19 08:28:28 | INFO | ConnectedUplink | ACK sent for seq=0
2026-03-19 08:28:28 | WARNING | ConnectedUplink | Duplicate/old packet received seq=0, last_rx_seq=0; payload dropped after ACK
2026-03-19 08:28:28 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:28:28 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:28:58 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:28:58 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:28:58 | INFO | ConnectedUplink | handle_rx self=2467550810800 queue=2467550312528 ACK=False FIN=False seq=0
2026-03-19 08:28:58 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:28:58 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:29:33 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:29:33 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:29:33 | INFO | ConnectedUplink | handle_rx self=2063675445936 queue=2063674964048 ACK=False FIN=False seq=0
2026-03-19 08:29:33 | INFO | ConnectedUplink | handle_rx self=2063675445936 queue=2063674964048 ACK=False FIN=False seq=0
2026-03-19 08:29:33 | INFO | ConnectedUplink | Entered ConnectedUplink mode
2026-03-19 08:29:33 | INFO | ConnectedUplink | starting activity timer for 180
2026-03-19 08:29:50 | INFO | ConnectedUplink | handle_rx self=2063675445936 queue=2063674964048 ACK=True FIN=False seq=1
2026-03-19 08:29:51 | INFO | ConnectedUplink | handle_rx self=2807358886240 queue=2807358643024 ACK=True FIN=False seq=1
2026-03-19 08:29:51 | INFO | ConnectedUplink | ACK sent for seq=1
2026-03-19 08:31:01 | INFO | ConnectedUplink | Entered ConnectedUplink mode
