2026-03-19 08:17:38 | INFO | Idle | Entered Idle mode
2026-03-19 08:17:38 | INFO | Idle | starting activity timer for 180
2026-03-19 08:17:38 | INFO | Idle | Entered Idle mode
2026-03-19 08:17:38 | INFO | Idle | starting activity timer for 180
2026-03-19 08:17:45 | ERROR | Idle | Failed to deframe message: module 'CommunicationsModule.Audimus_pb2' has no attribute 'Session_Mode'
2026-03-19 08:17:45 | ERROR | Idle | Failed to deframe message: module 'CommunicationsModule.Audimus_pb2' has no attribute 'Session_Mode'
2026-03-19 08:17:45 | ERROR | Idle | Failed to deframe message: module 'CommunicationsModule.Audimus_pb2' has no attribute 'Session_Mode'
2026-03-19 08:18:24 | INFO | Idle | Entered Idle mode
2026-03-19 08:18:24 | INFO | Idle | starting activity timer for 180
2026-03-19 08:18:24 | INFO | Idle | Entered Idle mode
2026-03-19 08:18:24 | INFO | Idle | starting activity timer for 180
2026-03-19 08:18:50 | INFO | Idle | Entered Idle mode
2026-03-19 08:18:50 | INFO | Idle | starting activity timer for 180
2026-03-19 08:18:50 | INFO | Idle | Entered Idle mode
2026-03-19 08:18:50 | INFO | Idle | starting activity timer for 180
2026-03-19 08:23:16 | INFO | Idle | Entered Idle mode
2026-03-19 08:23:16 | INFO | Idle | starting activity timer for 180
2026-03-19 08:23:16 | INFO | Idle | Entered Idle mode
2026-03-19 08:23:16 | INFO | Idle | starting activity timer for 180
2026-03-19 08:26:16 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:26:16 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:27:31 | INFO | Idle | Entered Idle mode
2026-03-19 08:27:31 | INFO | Idle | starting activity timer for 180
2026-03-19 08:27:31 | INFO | Idle | Entered Idle mode
2026-03-19 08:27:31 | INFO | Idle | starting activity timer for 180
2026-03-19 08:27:38 | INFO | Idle | GS should not recieve message in idle
2026-03-19 08:28:24 | INFO | Idle | Entered Idle mode
2026-03-19 08:28:24 | INFO | Idle | starting activity timer for 180
2026-03-19 08:28:24 | INFO | Idle | Entered Idle mode
2026-03-19 08:28:24 | INFO | Idle | starting activity timer for 180
2026-03-19 08:28:53 | INFO | Idle | Entered Idle mode
2026-03-19 08:28:53 | INFO | Idle | starting activity timer for 180
2026-03-19 08:28:53 | INFO | Idle | Entered Idle mode
2026-03-19 08:28:53 | INFO | Idle | starting activity timer for 180
2026-03-19 08:29:29 | INFO | Idle | Entered Idle mode
2026-03-19 08:29:29 | INFO | Idle | starting activity timer for 180
2026-03-19 08:29:29 | INFO | Idle | Entered Idle mode
2026-03-19 08:29:29 | INFO | Idle | starting activity timer for 180
2026-03-19 08:30:57 | INFO | Idle | Entered Idle mode
2026-03-19 08:30:57 | INFO | Idle | starting activity timer for 180
2026-03-19 08:30:57 | INFO | Idle | Entered Idle mode
2026-03-19 08:30:57 | INFO | Idle | starting activity timer for 180
2026-03-19 08:31:12 | INFO | Idle | Entered Idle mode
2026-03-19 08:31:12 | INFO | Idle | starting activity timer for 180
2026-03-19 08:32:09 | INFO | Idle | Entered Idle mode
